by,discussion_id,score,timestamp,title,url,stars_at_submission,stars_month_1,stars_month_2,stars_month_3,stars_month_4,stars_month_5,commits_at_submission,commits_month_1,commits_month_2,commits_month_3,commits_month_4,commits_month_5,pull_requests_at_submission,pull_requests_month_1,pull_requests_month_2,pull_requests_month_3,pull_requests_month_4,pull_requests_month_5,forks_at_submission,forks_month_1,forks_month_2,forks_month_3,forks_month_4,forks_month_5,contributors_at_submission,contributors_month_1,contributors_month_2,contributors_month_3,contributors_month_4,contributors_month_5
georgecmu,31306414,4,2022-05-08 18:00:04 UTC,"ML-Course-Notes: Sharing course notes on all ML, NLP, and AI topics",https://github.com/dair-ai/ML-Course-Notes,1724,220,1743,121,68,96,3,0,11,0,0,1,2,0,2,0,0,0,289,55,187,24,6,21,2,0,2,0,0,1
dhuynh95,31355348,32,2022-05-12 15:13:00 UTC,"BlindAI: Open-source, fast and privacy-friendly AI deployment solution in Rust",https://github.com/mithril-security/blindai,146,10,8,13,16,13,52,55,28,114,70,56,23,25,12,21,27,21,5,1,2,0,3,2,5,8,5,6,4,6
bkmn,31395616,2,2022-05-16 11:19:08 UTC,The AI Music Generation Challenge 2022,https://github.com/boblsturm/aimusicgenerationchallenge2022,2,4,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ArdelleF,31405976,36,2022-05-17 04:17:01 UTC,OpenAI Codex Python to C++ Code Generator,https://github.com/alxschwrz/codex_py2cpp,63,17,17,16,13,9,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,3,1,1,0,0,0,0,0,0
mmmmkay,31459027,3,2022-05-21 16:02:02 UTC,"Ailia-models: A collection of pre-trained, state-of-the-art AI models",https://github.com/axinc-ai/ailia-models,94,63,50,47,46,51,73,60,46,24,84,52,30,22,25,10,26,31,16,12,12,9,7,9,7,8,9,6,7,7
maydemir,31472727,2,2022-05-22 21:00:29 UTC,Hanlp – Natural language processing for the next decade,https://github.com/hankcs/HanLP,290,265,276,288,310,269,34,7,11,9,0,5,0,0,2,4,0,1,117,84,99,108,125,102,1,1,2,3,0,2
walterwhd,31475204,1,2022-05-23 03:57:13 UTC,A large-scale game AI distributed training platform developed for StarCraftII,https://github.com/opendilab/DI-star,349,55,42,191,50,69,9,3,1,0,1,0,0,8,0,0,2,0,32,9,5,24,4,4,1,3,1,0,2,0
sanjayaksaxena3,31521467,12,2022-05-26 17:58:35 UTC,Show HN: Developer Friendly Natural Language Processing,https://github.com/winkjs/wink-nlp,28,17,11,16,24,350,0,0,0,0,6,7,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,1,1
Psychosecurity,31524104,1,2022-05-26 22:34:18 UTC,Show HN: DeepFail: Potential way to “mine” AI generated failures,https://github.com/HyperCrowd-OpenSource/deepfail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davidbarker,31649385,2,2022-06-07 02:59:52 UTC,Human: AI-powered face and body detection/recognition JavaScript library,https://github.com/vladmandic/human,64,39,55,33,58,44,4,19,20,29,6,23,0,2,0,2,0,0,9,9,9,9,10,2,1,2,1,2,1,1
triaste,31735537,3,2022-06-14 06:48:28 UTC,IBM AI Descartes: Combining Data and Theory for Derivable Scientific Discovery,https://github.com/IBM/AI-Descartes,0,1,1,1,0,2,3,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0
cjstein,31747185,3,2022-06-14 23:15:32 UTC,List of AI audio/music tech startups,https://github.com/csteinmetz1/ai-audio-startups,688,80,35,30,22,18,26,4,3,5,0,0,47,11,6,4,0,0,51,6,8,1,5,2,18,7,3,2,0,0
OutSorcerer,31822229,1,2022-06-21 10:09:17 UTC,"Train an AI model on Android without coding, make your own app with it",https://github.com/OutSorcerer/pocket-automl-android-tutorial,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
modinfo,31831437,27,2022-06-22 02:31:46 UTC,Gemini with IPFS,https://github.com/JonStratton/geminipfs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f311a,31846593,736,2022-06-23 09:00:26 UTC,YaLM-100B: Pretrained language model with 100B parameters,https://github.com/yandex/YaLM-100B,276,59,41,30,26,68,0,0,0,0,0,0,1,0,0,0,0,0,29,5,3,2,5,6,1,0,0,0,0,0
hanyiwang,31946963,2,2022-07-01 14:36:24 UTC,Open source AI docstring generator,https://github.com/mintlify/writer,421,92,78,51,72,73,2,5,0,0,0,4,3,0,0,0,0,2,9,2,3,5,2,6,2,1,0,0,0,2
legel,32091581,3,2022-07-14 03:17:07 UTC,Show HN: Blender Python 3D simulator for computer vision and inverse render AI,https://github.com/3cology/3d_inverse_renderer,6,2,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
